global_epoch,stage_n,epoch_in_stage,loss_epoch
0,1,0,0.3527737302690979
1,1,1,0.26888982922308086
2,1,2,0.3142056818904839
3,1,3,0.19291543898972
4,1,4,0.13550504696680102
5,1,5,0.11899533606039023
6,1,6,0.10419277185720839
7,1,7,0.11072664347836586
8,1,8,0.09966141541715799
9,1,9,0.09873389901673993
10,1,10,0.10657799769354266
11,1,11,0.09306075694552791
12,1,12,0.0960972078683544
13,1,13,0.10219956745620905
14,1,14,0.10195355631015081
15,1,15,0.09145291188849121
16,1,16,0.0984357658417998
17,1,17,0.10116655017271287
18,1,18,0.0901559642424411
19,1,19,0.08454348253155876
20,1,20,0.09200594504547166
21,1,21,0.08450744694417826
22,1,22,0.08411970824886876
23,1,23,0.08820958868563762
24,1,24,0.0890198442232465
25,1,25,0.09056434607202936
26,1,26,0.08279722730728145
27,1,27,0.08364848942197052
28,1,28,0.08148844615559966
29,1,29,0.08016248039926922
30,1,30,0.08632174674714879
31,1,31,0.08592571751315396
32,1,32,0.08554952352318737
33,1,33,0.08203513750588287
34,1,34,0.08957867589999195
35,1,35,0.08447238908875293
36,1,36,0.08573720329184467
37,1,37,0.07709738246772958
38,1,38,0.07931296750774798
39,1,39,0.0798324619600454
40,1,40,0.08060857425874657
41,1,41,0.07737735809330228
42,1,42,0.08015426491271689
43,1,43,0.07949737902257709
44,1,44,0.0783751521838873
45,1,45,0.0773134659638896
46,1,46,0.0769856164065065
47,1,47,0.07822437164113366
48,1,48,0.07923241992486553
49,1,49,0.0754426180771882
50,1,50,0.07745801789803415
51,1,51,0.07671367502349656
52,1,52,0.07570587323981293
53,1,53,0.07465376133739941
54,1,54,0.07502371885705607
55,1,55,0.07740844724659522
56,1,56,0.07377377134568139
57,1,57,0.07451832637476816
58,1,58,0.08060271332524424
59,1,59,0.07849774004453353
60,1,60,0.07840970346583127
61,1,61,0.07106471782175304
62,1,62,0.07355168041673225
63,1,63,0.07834072970862199
64,1,64,0.07718867031851871
65,1,65,0.0730852452271772
66,1,66,0.07300401280733104
67,1,67,0.07230668767322383
68,1,68,0.07513431785490701
69,1,69,0.07012531271352851
70,1,70,0.06900217578476882
71,1,71,0.0715360303059235
72,1,72,0.08312967171393863
73,1,73,0.07297709718801257
74,1,74,0.07174550149980273
75,1,75,0.07200273977249758
76,1,76,0.07172537089635317
77,1,77,0.06902827670812373
78,1,78,0.0655478130550285
79,1,79,0.072841636385534
80,1,80,0.07206561305472173
81,1,81,0.07186297894690157
82,1,82,0.06702137703450001
83,1,83,0.06584673349408242
84,1,84,0.06916661738252128
85,1,85,0.07055472838440287
86,1,86,0.06948008726435295
87,1,87,0.06426854629684185
88,1,88,0.06279505692847719
89,1,89,0.06532516420312871
90,1,90,0.07014905542660482
91,1,91,0.0631238006180937
92,1,92,0.06955248105209541
93,1,93,0.06383727109664684
94,1,94,0.06298505205328313
95,1,95,0.06150652909666065
96,1,96,0.06651213361036516
97,1,97,0.06636424724921935
98,1,98,0.06107827437941652
99,1,99,0.061619358706722534
100,1,100,0.07048729759563993
