global_batch,stage_n,epoch_in_stage,batch_idx,loss_batch
0,1,0,0,0.8243066668510437
1,1,0,1,1.253617286682129
2,1,0,2,0.4198646545410156
3,1,0,3,1.6954014301300049
4,1,0,4,0.584783673286438
5,1,0,5,0.21822911500930786
6,1,0,6,0.22757594287395477
7,1,0,7,0.1546342670917511
8,1,0,8,0.14359767735004425
9,1,0,9,0.4891834259033203
10,1,0,10,0.537651538848877
11,1,0,11,0.13592538237571716
12,1,0,12,0.10141558945178986
13,1,0,13,0.4803626537322998
14,1,0,14,0.40548941493034363
15,1,0,15,0.55743008852005
16,1,0,16,0.4611491858959198
17,1,0,17,0.32272130250930786
18,1,0,18,0.25777265429496765
19,1,0,19,0.26782041788101196
20,1,0,20,0.21600429713726044
21,1,0,21,0.5306743383407593
22,1,0,22,0.17572063207626343
23,1,0,23,0.2631106376647949
24,1,0,24,0.570022463798523
25,1,0,25,0.25155898928642273
26,1,0,26,0.16827969253063202
27,1,0,27,0.3262155055999756
28,1,0,28,0.40028443932533264
29,1,0,29,0.18767480552196503
30,1,0,30,0.3735426664352417
31,1,0,31,0.08361515402793884
32,1,0,32,0.11486262083053589
33,1,0,33,0.2762942612171173
34,1,0,34,0.17200982570648193
35,1,0,35,0.2559214234352112
36,1,0,36,0.17746973037719727
37,1,0,37,0.3011898398399353
38,1,0,38,2.2254648208618164
39,1,0,39,0.28126057982444763
40,1,0,40,0.2305457890033722
41,1,0,41,0.7177038192749023
42,1,0,42,0.18909011781215668
43,1,0,43,0.3740147054195404
44,1,0,44,0.32305586338043213
45,1,0,45,0.1465490758419037
46,1,0,46,0.2735350728034973
47,1,0,47,0.46793055534362793
48,1,0,48,0.324354887008667
49,1,0,49,0.0904734656214714
50,1,0,50,0.19406504929065704
51,1,0,51,0.4104185700416565
52,1,0,52,0.1108863353729248
53,1,0,53,0.3264140486717224
54,1,0,54,0.11653120815753937
55,1,0,55,0.5320445895195007
56,1,0,56,0.18329012393951416
57,1,0,57,0.16130971908569336
58,1,0,58,0.297865629196167
59,1,0,59,0.18199273943901062
60,1,0,60,0.2967172861099243
61,1,0,61,0.16076511144638062
62,1,0,62,0.12060078233480453
63,1,0,63,0.28001928329467773
64,1,0,64,0.06726990640163422
65,1,0,65,0.10957807302474976
66,1,0,66,0.05897551774978638
67,1,0,67,0.3481215238571167
68,1,0,68,0.2682216167449951
69,1,0,69,0.28652334213256836
70,1,0,70,0.27711278200149536
71,1,0,71,0.23626145720481873
72,1,0,72,0.12248339504003525
73,1,0,73,0.34450381994247437
74,1,0,74,0.4006166458129883
75,1,0,75,0.30516156554222107
76,1,0,76,0.2907928228378296
77,1,0,77,0.3416324555873871
78,1,0,78,0.4072989821434021
79,1,0,79,0.3548317551612854
80,1,0,80,0.6185373663902283
81,1,0,81,0.22058461606502533
82,1,0,82,0.22349199652671814
83,1,0,83,0.0901489183306694
84,1,0,84,0.1316441148519516
85,1,0,85,0.2045724093914032
86,1,0,86,0.5567585229873657
87,1,0,87,0.17632807791233063
88,1,0,88,0.08169082552194595
89,1,0,89,0.08693073689937592
90,1,0,90,0.2064216136932373
91,1,0,91,0.20098845660686493
92,1,0,92,0.4342460036277771
93,1,0,93,0.18556725978851318
94,1,0,94,0.24581313133239746
95,1,0,95,0.20351073145866394
96,1,0,96,0.28171607851982117
97,1,0,97,0.22939087450504303
98,1,0,98,0.4405301809310913
99,1,0,99,0.16207274794578552
100,1,0,100,0.37862637639045715
101,1,0,101,1.0082998275756836
102,1,0,102,0.42978960275650024
103,1,0,103,0.35286039113998413
104,1,0,104,0.2184399664402008
105,1,0,105,0.368113249540329
106,1,0,106,0.205398827791214
107,1,0,107,0.09979522228240967
108,1,0,108,0.2953917384147644
109,1,0,109,0.07016170769929886
110,1,0,110,0.24334415793418884
111,1,0,111,0.09745681285858154
112,1,0,112,0.6773149967193604
113,1,0,113,0.20758001506328583
114,1,0,114,0.18402373790740967
115,1,0,115,0.14925959706306458
116,1,0,116,3.200713634490967
117,1,0,117,0.1799992322921753
118,1,0,118,0.2330256700515747
119,1,0,119,0.35092052817344666
120,1,0,120,0.1302366852760315
121,1,0,121,0.0818464607000351
122,1,0,122,0.039505425840616226
123,1,0,123,0.7913171648979187
124,1,0,124,0.30153119564056396
125,1,0,125,0.09653235971927643
126,1,0,126,0.24947020411491394
127,1,0,127,0.1382061243057251
128,1,1,0,0.28203582763671875
129,1,1,1,0.21628925204277039
130,1,1,2,0.11010253429412842
131,1,1,3,0.1299557387828827
132,1,1,4,0.37159430980682373
133,1,1,5,0.14452305436134338
134,1,1,6,0.12860679626464844
135,1,1,7,0.15589025616645813
136,1,1,8,0.1757151335477829
137,1,1,9,0.1597827672958374
138,1,1,10,0.17260125279426575
139,1,1,11,0.17199474573135376
140,1,1,12,0.2577798366546631
141,1,1,13,0.09658417850732803
142,1,1,14,0.23820249736309052
143,1,1,15,2.048391819000244
144,1,1,16,0.6458085775375366
145,1,1,17,0.06449417769908905
146,1,1,18,0.1259707659482956
147,1,1,19,0.042487919330596924
148,1,1,20,0.15364773571491241
149,1,1,21,0.052573710680007935
150,1,1,22,0.1139480397105217
151,1,1,23,0.08629832416772842
152,1,1,24,0.14053136110305786
153,1,1,25,0.3978881239891052
154,1,1,26,0.061246711760759354
155,1,1,27,0.25673753023147583
156,1,1,28,0.2488396018743515
157,1,1,29,0.5896300077438354
158,1,1,30,0.482889860868454
159,1,1,31,0.12798452377319336
160,1,1,32,0.18375378847122192
161,1,1,33,0.20603717863559723
162,1,1,34,0.6719508171081543
163,1,1,35,1.0174580812454224
164,1,1,36,0.15788449347019196
165,1,1,37,0.7103109955787659
166,1,1,38,0.6885681748390198
167,1,1,39,0.2814269959926605
168,1,1,40,0.46834152936935425
169,1,1,41,0.2584913372993469
170,1,1,42,0.5453296899795532
171,1,1,43,0.3711892366409302
172,1,1,44,0.40110236406326294
173,1,1,45,0.2860001027584076
174,1,1,46,0.5166594982147217
175,1,1,47,0.28291118144989014
176,1,1,48,0.1862923800945282
177,1,1,49,0.3151790499687195
178,1,1,50,0.26028555631637573
179,1,1,51,0.14455512166023254
180,1,1,52,0.40030714869499207
181,1,1,53,0.2588553726673126
182,1,1,54,0.19151058793067932
183,1,1,55,0.7643625140190125
184,1,1,56,0.08418849110603333
185,1,1,57,1.524752140045166
186,1,1,58,0.0984996110200882
187,1,1,59,0.18209895491600037
188,1,1,60,0.5324690937995911
189,1,1,61,0.494048535823822
190,1,1,62,0.250836044549942
191,1,1,63,0.1879548877477646
192,1,1,64,0.2209620624780655
193,1,1,65,0.353500634431839
194,1,1,66,0.3647351562976837
195,1,1,67,0.3845215439796448
196,1,1,68,0.31264615058898926
197,1,1,69,0.3804403245449066
198,1,1,70,0.25770723819732666
199,1,1,71,0.15757793188095093
200,1,1,72,0.2349504679441452
201,1,1,73,0.3873664140701294
202,1,1,74,0.15011945366859436
203,1,1,75,0.11417336761951447
204,1,1,76,0.27487877011299133
205,1,1,77,0.7651757001876831
206,1,1,78,0.16467325389385223
207,1,1,79,3.441901922225952
208,1,1,80,0.43836915493011475
209,1,1,81,0.11382348835468292
210,1,1,82,0.29944539070129395
211,1,1,83,0.07340029627084732
212,1,1,84,0.48820412158966064
213,1,1,85,0.16908763349056244
214,1,1,86,0.4271197021007538
215,1,1,87,0.18143735826015472
216,1,1,88,0.37533286213874817
217,1,1,89,0.19657602906227112
218,1,1,90,0.20298859477043152
219,1,1,91,0.21511688828468323
220,1,1,92,0.19028311967849731
221,1,1,93,0.14714598655700684
222,1,1,94,0.22120340168476105
223,1,1,95,0.2712046802043915
224,1,1,96,0.3999646306037903
225,1,1,97,0.9997416138648987
226,1,1,98,0.23342637717723846
227,1,1,99,0.40848273038864136
228,1,1,100,0.1922660768032074
229,1,1,101,0.20177704095840454
230,1,1,102,1.1480728387832642
231,1,1,103,0.23198255896568298
232,1,1,104,0.307148814201355
233,1,1,105,0.19478332996368408
234,1,1,106,0.2287244200706482
235,1,1,107,0.18647107481956482
236,1,1,108,0.24543845653533936
237,1,1,109,0.353403240442276
238,1,1,110,0.2061968445777893
239,1,1,111,0.2201477289199829
240,1,1,112,0.28365254402160645
241,1,1,113,0.16473908722400665
242,1,1,114,0.24043136835098267
243,1,1,115,0.1770993024110794
244,1,1,116,0.15651428699493408
245,1,1,117,0.25248491764068604
246,1,1,118,0.14497151970863342
247,1,1,119,0.2737519145011902
248,1,1,120,0.19348478317260742
249,1,1,121,0.209663987159729
250,1,1,122,0.06323082000017166
251,1,1,123,0.2747192084789276
252,1,1,124,0.29140883684158325
253,1,1,125,0.20799171924591064
254,1,1,126,0.17756544053554535
255,1,1,127,0.3159378468990326
256,1,2,0,0.37693271040916443
257,1,2,1,0.1413838118314743
258,1,2,2,0.1091906949877739
259,1,2,3,0.12716606259346008
260,1,2,4,0.2656617760658264
261,1,2,5,0.34191757440567017
262,1,2,6,0.15290173888206482
263,1,2,7,0.15490512549877167
264,1,2,8,0.16001516580581665
265,1,2,9,0.18915703892707825
266,1,2,10,0.2979159355163574
267,1,2,11,0.38822630047798157
268,1,2,12,0.05254954844713211
269,1,2,13,0.1582798808813095
270,1,2,14,0.21201127767562866
271,1,2,15,0.1399267613887787
272,1,2,16,0.24902114272117615
273,1,2,17,0.23663079738616943
274,1,2,18,0.3863331973552704
275,1,2,19,0.12133210152387619
276,1,2,20,0.25082725286483765
277,1,2,21,0.13809698820114136
278,1,2,22,0.13710922002792358
279,1,2,23,0.37906140089035034
280,1,2,24,0.3431118428707123
281,1,2,25,0.16582059860229492
282,1,2,26,0.16927997767925262
283,1,2,27,0.21128959953784943
284,1,2,28,0.21918022632598877
285,1,2,29,0.1864001452922821
286,1,2,30,0.14577960968017578
287,1,2,31,0.08940781652927399
288,1,2,32,0.08157043159008026
289,1,2,33,0.17874687910079956
290,1,2,34,0.24189873039722443
291,1,2,35,0.23505085706710815
292,1,2,36,0.28160589933395386
293,1,2,37,0.10346658527851105
294,1,2,38,0.17129923403263092
295,1,2,39,0.22383365035057068
296,1,2,40,0.1581689417362213
297,1,2,41,0.2235276997089386
298,1,2,42,0.27304744720458984
299,1,2,43,0.18233932554721832
300,1,2,44,0.12479643523693085
301,1,2,45,0.23008665442466736
302,1,2,46,0.15944454073905945
303,1,2,47,0.09204152226448059
304,1,2,48,0.07088764756917953
305,1,2,49,0.10322453081607819
306,1,2,50,0.28286314010620117
307,1,2,51,0.27090010046958923
308,1,2,52,0.2065529227256775
309,1,2,53,0.1955130696296692
310,1,2,54,0.2151324450969696
311,1,2,55,0.21806545555591583
312,1,2,56,0.17733921110630035
313,1,2,57,0.16488517820835114
314,1,2,58,0.2262408584356308
315,1,2,59,0.11641430854797363
316,1,2,60,0.11681456118822098
317,1,2,61,0.16628876328468323
318,1,2,62,0.3079829812049866
319,1,2,63,0.14250358939170837
320,1,2,64,1.6415232419967651
321,1,2,65,0.2386983335018158
322,1,2,66,0.12944939732551575
323,1,2,67,0.16148784756660461
324,1,2,68,0.18243807554244995
325,1,2,69,0.17244020104408264
326,1,2,70,0.12043529748916626
327,1,2,71,0.09309229254722595
328,1,2,72,0.1291649043560028
329,1,2,73,0.05192996934056282
330,1,2,74,0.24598053097724915
331,1,2,75,0.2519233822822571
332,1,2,76,0.19546319544315338
333,1,2,77,0.08105041831731796
334,1,2,78,0.5138460397720337
335,1,2,79,0.2165568619966507
336,1,2,80,0.18494927883148193
337,1,2,81,0.1153404712677002
338,1,2,82,0.5684799551963806
339,1,2,83,0.3619951605796814
340,1,2,84,0.532916247844696
341,1,2,85,0.9150945544242859
342,1,2,86,0.28181684017181396
343,1,2,87,0.28531384468078613
344,1,2,88,0.2759367823600769
345,1,2,89,0.2066671997308731
346,1,2,90,0.1950894296169281
347,1,2,91,0.22794145345687866
348,1,2,92,0.3419227600097656
349,1,2,93,0.18781258165836334
350,1,2,94,0.18018820881843567
351,1,2,95,0.37093234062194824
352,1,2,96,0.45840775966644287
353,1,2,97,0.49475014209747314
354,1,2,98,0.2566431760787964
355,1,2,99,0.2486879825592041
356,1,2,100,0.23069016635417938
357,1,2,101,0.30957168340682983
358,1,2,102,0.18158121407032013
359,1,2,103,0.13838820159435272
360,1,2,104,0.5050333142280579
361,1,2,105,0.46130046248435974
362,1,2,106,0.1719948947429657
363,1,2,107,0.357654869556427
364,1,2,108,0.2614622712135315
365,1,2,109,0.15304386615753174
366,1,2,110,2.6110806465148926
367,1,2,111,0.19593404233455658
368,1,2,112,0.3506714701652527
369,1,2,113,0.3445211350917816
370,1,2,114,0.15260253846645355
371,1,2,115,0.2464170604944229
372,1,2,116,0.2049766480922699
373,1,2,117,0.22774925827980042
374,1,2,118,0.13110388815402985
375,1,2,119,0.2673933506011963
376,1,2,120,0.3397911787033081
377,1,2,121,0.3083237409591675
378,1,2,122,3.3219285011291504
379,1,2,123,0.12708768248558044
380,1,2,124,0.38293135166168213
381,1,2,125,1.0207690000534058
382,1,2,126,0.17856627702713013
383,1,2,127,0.23575422167778015
384,1,3,0,0.10358710587024689
385,1,3,1,0.06689588725566864
386,1,3,2,0.457267701625824
387,1,3,3,0.21889668703079224
388,1,3,4,0.23465783894062042
389,1,3,5,0.30677151679992676
390,1,3,6,0.21971039474010468
391,1,3,7,0.20825150609016418
392,1,3,8,0.16400346159934998
393,1,3,9,0.1189740002155304
394,1,3,10,0.07023889571428299
395,1,3,11,0.19126884639263153
396,1,3,12,0.10339635610580444
397,1,3,13,0.17943058907985687
398,1,3,14,0.1308670938014984
399,1,3,15,0.14889487624168396
400,1,3,16,0.1739865392446518
401,1,3,17,0.1577753871679306
402,1,3,18,0.18362024426460266
403,1,3,19,0.15865570306777954
404,1,3,20,0.20597317814826965
405,1,3,21,0.08710066974163055
406,1,3,22,0.12032990902662277
407,1,3,23,0.2508127689361572
408,1,3,24,0.2025890052318573
409,1,3,25,0.3264875113964081
410,1,3,26,0.16360285878181458
411,1,3,27,0.12454859167337418
412,1,3,28,0.11281129717826843
413,1,3,29,0.22076287865638733
